,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),Class,Answer
0,5.1,3.5,1.4,0.2,0,0.0016817097655340897
1,4.9,3.0,1.4,0.2,0,-0.00044745669405016277
2,4.7,3.2,1.3,0.2,0,-0.00036526328070114863
3,4.6,3.1,1.5,0.2,0,-0.0010997786194841127
4,5.0,3.6,1.4,0.2,0,0.001625818360609981
5,5.4,3.9,1.7,0.4,0,0.0010704831457954568
6,4.6,3.4,1.4,0.3,0,-0.0014891791686122893
7,5.0,3.4,1.5,0.2,0,0.0012168663940916378
8,4.4,2.9,1.4,0.2,0,-0.0010025494224484652
9,4.9,3.1,1.5,0.1,0,0.0012992883342149274
10,5.4,3.7,1.5,0.2,0,0.002553122198508538
11,4.8,3.4,1.6,0.2,0,0.0005199685085359482
12,4.8,3.0,1.4,0.1,0,0.0008973664868193906
13,4.3,3.0,1.1,0.1,0,-0.0010105082953874803
14,5.8,4.0,1.2,0.2,0,0.0030979267477317684
15,5.7,4.4,1.5,0.4,0,0.002685896017591867
16,5.4,3.9,1.3,0.4,0,0.0012639649355875846
17,5.1,3.5,1.4,0.3,0,0.0005721544796390914
18,5.7,3.8,1.7,0.3,0,0.0022697251898411218
19,5.1,3.8,1.5,0.3,0,0.001366970713051603
20,5.4,3.4,1.7,0.2,0,0.0007859746304162807
21,5.1,3.7,1.5,0.4,0,-0.0002191594023128471
22,4.6,3.6,1.0,0.2,0,-1.5159457672698822e-05
23,5.1,3.3,1.7,0.5,0,-0.028131039204949533
24,4.8,3.4,1.9,0.2,0,-0.008728301642656843
25,5.0,3.0,1.6,0.2,0,-0.004348693540231413
26,5.0,3.4,1.6,0.4,0,-0.004112084184587156
27,5.2,3.5,1.5,0.2,0,0.001916504545475538
28,5.2,3.4,1.4,0.2,0,0.0017231139674307272
29,4.7,3.2,1.6,0.2,0,-0.0010130818525177763
30,4.8,3.1,1.6,0.2,0,-0.002111555880362449
31,5.4,3.4,1.5,0.4,0,-0.0009938048233655748
32,5.2,4.1,1.5,0.1,0,0.003040965647736714
33,5.5,4.2,1.4,0.2,0,0.0030275299151558436
34,4.9,3.1,1.5,0.1,0,0.0012992883342149274
35,5.0,3.2,1.2,0.2,0,0.0005968939513029817
36,5.5,3.5,1.3,0.2,0,0.0024186904572548215
37,4.9,3.1,1.5,0.1,0,0.0012992883342149274
38,4.4,3.0,1.3,0.2,0,-0.0012900058697963492
39,5.1,3.4,1.5,0.2,0,0.0014665109876929171
40,5.0,3.5,1.3,0.3,0,0.0001576127262399528
41,4.5,2.3,1.3,0.3,0,0.030059533302335274
42,4.4,3.2,1.3,0.2,0,-0.0012786253025365015
43,5.0,3.5,1.6,0.6,0,-0.008382747720575304
44,5.1,3.8,1.9,0.4,0,-0.00648899420568593
45,4.8,3.0,1.4,0.3,0,-0.002729283491134839
46,5.1,3.8,1.6,0.2,0,0.0022393949685876728
47,4.6,3.2,1.4,0.2,0,-0.0006088676865940353
48,5.3,3.7,1.5,0.2,0,0.002409914858452165
